HHID,TRIPDIST,TRIPSPD,TRIPDUR
112090,2.416956522,17.17130435,527.4761905
112091,1.441355932,17.48169492,272.6551724
112106,0.5525,6.245,325.5
112109,7.581428571,26.19809524,921.95
112126,3.728181818,18.36454545,721.7
112144,2.161509434,17.94830189,401.3061224
112153,4.636590909,24.60977273,628.6
112184,4.173703704,22.37888889,636.56
112188,4.629354839,21.94,554.0967742
112189,4.721,20.828,727.375
112193,3.848,20.82533333,684.7857143
112201,3.130719424,17.64251799,651.2132353
112205,9.7675,27.993125,1086.2
112221,6.266285714,30.21471429,580.115942
112224,10.15071429,26.24357143,1369
112225,3.228076923,22.45730769,472.1153846
112232,6.979310345,26.44172414,853.3793103
112237,2.177631579,11.49394737,536.2
112242,5.303333333,9.975555556,1794.5
112270,4.72516129,22.87967742,608.9285714
112286,9.056666667,22.93733333,1153.461538
112288,5.473076923,22.11487179,782.027027
112291,19.6675,40.2025,1522.5
112293,0.66,9.768,235.3333333
112297,4.483333333,21.91333333,651.6
112305,5.4004,23.0056,790.5238095
112323,9.413043478,21.69913043,1183.428571
112329,11.51307692,26.42,1325.25
112347,2.795555556,16.89333333,570.5714286
112355,12.51692308,31.31153846,1237.615385
112365,5.878181818,34.06363636,659.8181818
112376,2.384117647,16.10411765,471.7142857
112378,4.661290323,22.92032258,627.9677419
112392,4.429230769,18.79589744,653.6857143
112401,12.63,23.67470588,3207.769231
