ZONE,AT,HH,CarbonTon
84,2,773.000000000000,2.438
85,2,234.000000000000,0.738
86,2,204.000000000000,0.644
87,2,94.000000000000,0.297
88,2,28.000000000000,0.088
89,2,97.000000000000,0.306
90,2,81.000000000000,0.256
91,2,0.000000000000,0.000
92,2,74.000000000000,0.233
93,2,0.000000000000,0.000
94,2,0.000000000000,0.000
95,2,281.000000000000,0.886
96,2,1192.000000000000,3.760
97,2,1124.000000000000,3.546
98,2,22.000000000000,0.069
99,2,721.000000000000,2.274
100,2,1005.000000000000,3.170
101,1,71.000000000000,0.165
102,1,247.000000000000,0.573
103,1,0.000000000000,0.000
104,2,734.000000000000,2.315
105,2,175.000000000000,0.552
106,2,0.000000000000,0.000
107,2,475.000000000000,1.498
108,2,469.000000000000,1.479
109,2,327.000000000000,1.032
110,2,178.000000000000,0.562
111,2,550.000000000000,1.735
112,2,54.000000000000,0.170
113,2,657.000000000000,2.073
114,2,71.000000000000,0.224
115,2,6.000000000000,0.019
116,2,0.000000000000,0.000
117,2,0.000000000000,0.000
118,2,0.000000000000,0.000
119,2,0.000000000000,0.000
120,2,76.000000000000,0.240
121,1,501.000000000000,1.163
122,2,1120.000000000000,3.533
123,2,1557.000000000000,4.912
124,2,260.000000000000,0.820
125,1,621.000000000000,1.441
126,1,299.000000000000,0.694
127,1,92.000000000000,0.214
128,1,1517.000000000000,3.520
129,2,241.000000000000,0.760
130,2,604.000000000000,1.905
131,2,452.000000000000,1.426
132,2,667.000000000000,2.104
133,2,1162.000000000000,3.666
134,2,281.000000000000,0.886
135,1,844.000000000000,1.959
136,1,755.000000000000,1.752
137,1,146.000000000000,0.339
138,2,1001.000000000000,3.158
139,1,909.000000000000,2.109
140,1,360.000000000000,0.835
141,1,551.000000000000,1.279
142,1,0.000000000000,0.000
143,1,0.000000000000,0.000
144,2,1443.000000000000,4.552
145,2,760.000000000000,2.397
146,2,143.000000000000,0.451
147,1,11.000000000000,0.026
148,2,379.000000000000,1.196
149,2,541.000000000000,1.707
150,2,717.000000000000,2.262
151,2,625.000000000000,1.972
152,2,340.000000000000,1.073
153,2,850.000000000000,2.681
154,2,451.000000000000,1.423
155,1,1379.000000000000,3.200
156,1,341.000000000000,0.791
157,1,400.000000000000,0.928
158,1,686.000000000000,1.592
159,1,508.000000000000,1.179
160,1,439.000000000000,1.019
161,1,525.000000000000,1.218
162,1,929.000000000000,2.156
163,1,604.000000000000,1.402
164,1,738.000000000000,1.713
